index,bin start,count
0,0.000,237999
1,130.750,0
2,261.500,0
3,392.250,0
4,523.000,0
5,653.750,0
6,784.500,0
7,915.250,0
8,1046.000,0
9,1176.750,0
10,1307.500,0
11,1438.250,0
12,1569.000,0
13,1699.750,0
14,1830.500,0
15,1961.250,0
16,2092.000,0
17,2222.750,0
18,2353.500,0
19,2484.250,0
20,2615.000,0
21,2745.750,0
22,2876.500,0
23,3007.250,0
24,3138.000,0
25,3268.750,0
26,3399.500,0
27,3530.250,0
28,3661.000,3
29,3791.750,1
30,3922.500,1
31,4053.250,1
32,4184.000,2
33,4314.750,2
34,4445.500,2
35,4576.250,7
36,4707.000,5
37,4837.750,5
38,4968.500,5
39,5099.250,5
40,5230.000,6
41,5360.750,9
42,5491.500,14
43,5622.250,9
44,5753.000,5
45,5883.750,11
46,6014.500,12
47,6145.250,18
48,6276.000,17
49,6406.750,17
50,6537.500,25
51,6668.250,26
52,6799.000,16
53,6929.750,33
54,7060.500,39
55,7191.250,35
56,7322.000,39
57,7452.750,49
58,7583.500,66
59,7714.250,57
60,7845.000,59
61,7975.750,67
62,8106.500,79
63,8237.250,94
64,8368.000,110
65,8498.750,97
66,8629.500,125
67,8760.250,162
68,8891.000,184
69,9021.750,227
70,9152.500,237
71,9283.250,277
72,9414.000,321
73,9544.750,401
74,9675.500,515
75,9806.250,623
76,9937.000,681
77,10067.750,847
78,10198.500,961
79,10329.250,1166
80,10460.000,1337
81,10590.750,1616
82,10721.500,1947
83,10852.250,2184
84,10983.000,2700
85,11113.750,3068
86,11244.500,3871
87,11375.250,4772
88,11506.000,6089
89,11636.750,7614
90,11767.500,9483
91,11898.250,11861
92,12029.000,14788
93,12159.750,17944
94,12290.500,21627
95,12421.250,25404
96,12552.000,29209
97,12682.750,31995
98,12813.500,34373
99,12944.250,35992
100,13075.000,36495
101,13205.750,36141
102,13336.500,35265
103,13467.250,32719
104,13598.000,29852
105,13728.750,27009
106,13859.500,23279
107,13990.250,19670
108,14121.000,16266
109,14251.750,13074
110,14382.500,10559
111,14513.250,8351
112,14644.000,6232
113,14774.750,4776
114,14905.500,3789
115,15036.250,3037
116,15167.000,2481
117,15297.750,2114
118,15428.500,1798
119,15559.250,1491
120,15690.000,1477
121,15820.750,1291
122,15951.500,1249
123,16082.250,1225
124,16213.000,1155
125,16343.750,1187
126,16474.500,1099
127,16605.250,1096
128,16736.000,1008
129,16866.750,930
130,16997.500,973
131,17128.250,936
132,17259.000,956
133,17389.750,900
134,17520.500,875
135,17651.250,886
136,17782.000,822
137,17912.750,812
138,18043.500,841
139,18174.250,871
140,18305.000,827
141,18435.750,819
142,18566.500,851
143,18697.250,828
144,18828.000,794
145,18958.750,849
146,19089.500,847
147,19220.250,890
148,19351.000,898
149,19481.750,888
150,19612.500,931
151,19743.250,972
152,19874.000,1036
153,20004.750,1101
154,20135.500,1167
155,20266.250,1176
156,20397.000,1357
157,20527.750,1507
158,20658.500,1583
159,20789.250,1747
160,20920.000,1950
161,21050.750,2052
162,21181.500,2265
163,21312.250,2488
164,21443.000,2539
165,21573.750,2754
166,21704.500,2885
167,21835.250,2976
168,21966.000,3113
169,22096.750,3162
170,22227.500,3248
171,22358.250,3346
172,22489.000,3281
173,22619.750,3300
174,22750.500,3125
175,22881.250,3010
176,23012.000,2923
177,23142.750,2771
178,23273.500,2632
179,23404.250,2395
180,23535.000,2315
181,23665.750,2168
182,23796.500,1977
183,23927.250,1807
184,24058.000,1657
185,24188.750,1535
186,24319.500,1383
187,24450.250,1286
188,24581.000,1120
189,24711.750,1079
190,24842.500,961
191,24973.250,841
192,25104.000,727
193,25234.750,685
194,25365.500,594
195,25496.250,506
196,25627.000,460
197,25757.750,405
198,25888.500,399
199,26019.250,352
200,26150.000,275
201,26280.750,257
202,26411.500,239
203,26542.250,178
204,26673.000,168
205,26803.750,153
206,26934.500,115
207,27065.250,98
208,27196.000,112
209,27326.750,83
210,27457.500,95
211,27588.250,56
212,27719.000,60
213,27849.750,53
214,27980.500,51
215,28111.250,36
216,28242.000,31
217,28372.750,31
218,28503.500,20
219,28634.250,18
220,28765.000,15
221,28895.750,12
222,29026.500,11
223,29157.250,12
224,29288.000,9
225,29418.750,5
226,29549.500,3
227,29680.250,4
228,29811.000,7
229,29941.750,1
230,30072.500,1
231,30203.250,1
232,30334.000,2
233,30464.750,0
234,30595.500,0
235,30726.250,0
236,30857.000,2
237,30987.750,3
238,31118.500,2
239,31249.250,0
240,31380.000,1
241,31510.750,1
242,31641.500,0
243,31772.250,0
244,31903.000,2
245,32033.750,0
246,32164.500,0
247,32295.250,0
248,32426.000,0
249,32556.750,0
250,32687.500,0
251,32818.250,0
252,32949.000,0
253,33079.750,0
254,33210.500,1
255,33341.250,1
